calories,sodium,potass,vitamins,cups,rating
70,130,280,25,0.33,68.402973
120,15,135,0,1,33.983679
70,260,320,25,0.33,59.425505
50,140,330,25,0.5,93.704912
110,200,-1,25,0.75,34.384843
110,180,70,25,0.75,29.509541
110,125,30,25,1,33.174094
130,210,100,25,0.75,37.038562
90,200,125,25,0.67,49.120253
90,210,190,25,0.67,53.313813
120,220,35,25,0.75,18.042851
110,290,105,25,1.25,50.764999
120,210,45,25,0.75,19.823573
110,140,105,25,0.5,40.400208
110,180,55,25,1,22.736446
110,280,25,25,1,41.445019
100,290,35,25,1,45.863324
110,90,20,25,1,35.782791
110,180,65,25,1,22.396513
110,140,160,25,0.5,40.448772
100,80,-1,0,1,64.533816
110,220,30,25,1,46.895644
100,140,120,25,0.75,36.176196
100,190,80,25,0.75,44.330856
110,125,30,25,1,32.207582
110,200,25,25,0.75,31.435973
100,0,100,25,0.8,58.345141
120,160,200,25,0.67,40.917047
120,240,190,25,0.67,41.015492
110,135,25,25,0.75,28.025765
100,45,40,25,0.88,35.252444
110,280,45,25,0.75,23.804043
100,140,85,25,0.88,52.076897
110,170,90,25,0.25,53.371007
120,75,100,25,0.33,45.811716
120,220,45,25,1,21.871292
110,250,90,25,0.75,31.072217
110,180,35,25,1.33,28.742414
110,170,60,100,1,36.523683
140,170,95,100,0.75,36.471512
110,260,40,25,1.5,39.241114
100,150,95,25,0.67,45.328074
110,180,55,25,1,26.734515
100,0,95,25,1,54.850917
150,95,170,25,1,37.136863
150,150,170,25,1,34.139765
160,150,160,25,0.67,30.313351
100,220,90,25,1,40.105965
120,190,40,25,0.67,29.924285
140,220,130,25,0.67,40.69232
90,170,90,25,1,59.642837
130,170,120,25,0.5,30.450843
120,200,260,25,0.67,37.840594
100,320,45,100,1,41.50354
50,0,15,0,1,60.756112
50,0,50,0,1,63.005645
100,135,110,25,0.5,49.511874
100,0,110,0,0.67,50.828392
120,210,240,25,0.75,39.259197
100,140,140,25,0.5,39.7034
90,0,110,25,0.5,55.333142
110,240,30,25,1.13,41.998933
110,290,35,25,1,40.560159
80,0,95,0,1,68.235885
90,0,140,0,0.67,74.472949
90,0,120,0,0.67,72.801787
110,70,40,25,0.75,31.230054
110,230,55,25,1,53.131324
90,15,90,25,1,59.363993
110,200,35,100,1,38.839746
140,190,230,100,1,28.592785
100,200,110,100,1,46.658844
110,250,60,25,0.75,39.106174
110,140,25,25,1,27.753301
100,230,115,25,0.67,49.787445
100,200,110,25,1,51.592193
110,200,60,25,0.75,36.187559
